src,brand,prod_name,prod_price,prod_discount,prod_link,prod_thumbnail,2차분류
toun28,toun28,고체향수 NO.404 HAENAM FIG 12g / 시그니처 솔리드 퍼퓸,3230,3230,https://www.toun28.com/renew/product/282,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/282/HAENAM_280.png,고체향수
toun28,toun28,바디바 (바디쿨링) S22,1100,1100,https://www.toun28.com/renew/product/91,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/91/공통_S22_thum.png,바디바
toun28,toun28,바디바 (탄력/피부투명) S23,1100,1100,https://www.toun28.com/renew/product/92,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/92/공통_S23_thum.png,바디바
toun28,toun28,바디바 (각질제거/스크럽) S24,1100,1100,https://www.toun28.com/renew/product/93,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/93/공통_S24_thum.png,바디바
toun28,toun28,바디바 (야외/취침피부관리) S25,1100,1100,https://www.toun28.com/renew/product/94,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/94/공통_S25_thum.png,바디바
toun28,toun28,여성청결제 Y1 Queen`s permission,2400,2400,https://www.toun28.com/renew/product/58,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/58/공통_Y솔루션즈_Y1_thum.png,여성청결제
toun28,toun28,여성청결제 Y2 Royal Sweet,2400,2400,https://www.toun28.com/renew/product/59,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/59/공통_Y솔루션즈_Y2_thum.png,여성청결제
toun28,toun28,여성청결제 Y3 Noble Herb,2400,2400,https://www.toun28.com/renew/product/60,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/60/공통_Y솔루션즈_Y3_thum.png,여성청결제
toun28,toun28,여성청결제 Y4 Violet Citrus,2400,2400,https://www.toun28.com/renew/product/61,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/61/공통_Y솔루션즈_Y4_thum.png,여성청결제
toun28,toun28,입술 바를거리 L1 (바닐라향),900,900,https://www.toun28.com/renew/product/56,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/56/공통_입술바를거리_L1_thum.png,립밤
toun28,toun28,입술 바를거리 L2 (무향),900,900,https://www.toun28.com/renew/product/57,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/57/공통_입술바를거리_L2_thum.png,립밤
toun28,toun28,손 세정제,500,500,https://www.toun28.com/renew/product/62,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/62/공통_손세정제_thum.png,손세정제
toun28,toun28,손 세정제 3+1,1500,1500,https://www.toun28.com/renew/product/63,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/63/son_sum.png,손세정제
toun28,toun28,손 세정제 5+2,2500,2500,https://www.toun28.com/renew/product/64,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/64/sun5_sum.png,손세정제
toun28,toun28,해남 병풀 카밍 세럼 미스트 100ml,2000,2000,https://www.toun28.com/renew/product/389,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/389/thumb_280_295_calmingserummist.png,미스트
toun28,toun28,해남 병풀 카밍 오일 미스트 100ml,2000,2000,https://www.toun28.com/renew/product/390,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/390/thumb_280_295_oilserummist.png,미스트
toun28,toun28,해남 병풀 카밍 젤 크림 60ml,1600,1600,https://www.toun28.com/renew/product/391,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/391/thumb_280_295_calimggel.png,크림
toun28,toun28,프로폴리스 세럼 + 균형제 + 크림 SET,8070,8070,https://www.toun28.com/renew/product/298,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/298/propolis_set_01.png,로션
toun28,toun28,프로폴리스 크림 50g,2800,2800,https://www.toun28.com/renew/product/295,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/295/propolis_cream_01.png,로션
toun28,toun28,프로폴리스 균형제 250ml,2200,2200,https://www.toun28.com/renew/product/294,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/294/propolis_toner_01.png,로션
toun28,toun28,갈락토미세스 나이아신아마이드 세럼 30ml,3500,3500,https://www.toun28.com/renew/product/71,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/71/공통_갈락토미세스_thum.png,세럼
toun28,toun28,프로폴리스 세럼 30ml,3500,3500,https://www.toun28.com/renew/product/297,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/297/propolis_serum_01.png,세럼
toun28,toun28,AHA BHA PHA 세럼 30ml,3500,3500,https://www.toun28.com/renew/product/73,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/73/공통_AHABHAPHA_thum.png,세럼
toun28,toun28,센텔라 + 펩타이드 세럼 30ml,3500,3500,https://www.toun28.com/renew/product/74,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/74/공통_센텔라아시아티카_thum.png,세럼
toun28,toun28,플러스마이너스 pH 균형제 (토너) 250ml,2870,2870,https://www.toun28.com/renew/product/66,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/66/공통_pH균형제_250ml_thum.png,토너
toun28,toun28,플러스마이너스 pH 균형제 (토너) 100ml,1400,1400,https://www.toun28.com/renew/product/65,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/65/공통_pH균형제_100ml_thum.png,토너
toun28,toun28,C01 비-이온 클렌징 워터 500ml,3200,3200,https://www.toun28.com/renew/product/28,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/28/공통_클렌징워터_thum.png,클렌징워터
toun28,toun28,수부지 트러블 바를거리,2500,2500,https://www.toun28.com/renew/product/84,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/84/공통_수부지트러블바를거리_thum.png,로션
toun28,toun28,민감 트러블 바를거리,2500,2500,https://www.toun28.com/renew/product/85,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/85/공통_민감트러블바를거리_thum.png,로션
toun28,toun28,얼굴용 (건성/보습) S1 로즈힙,1100,1100,https://www.toun28.com/renew/product/29,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/29/280_295_2.png,페이셜비누
toun28,toun28,얼굴용 (건성/투명피부) S2 비타민,1100,1100,https://www.toun28.com/renew/product/30,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/30/new_sum.png,페이셜비누
toun28,toun28,얼굴용 (지성/기름흡착) S3 칼라민,1100,1100,https://www.toun28.com/renew/product/31,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/31/공통_S3_thum.png,페이셜비누
toun28,toun28,얼굴용 (지성/모공관리) S4 티트리,1100,1100,https://www.toun28.com/renew/product/32,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/32/공통_S4_thum.png,페이셜비누
toun28,toun28,얼굴용 (건성/민감성) S5 구아줄렌,1100,1100,https://www.toun28.com/renew/product/33,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/33/공통_S5_thum.png,페이셜비누
